SERIES   NGDP     5511 obs. from  1-5511, no frequency
         NGDP_R   5511 obs. from  1-5511, no frequency
         NGDPD    5511 obs. from  1-5511, no frequency
         PPPPC    5511 obs. from  1-5511, no frequency
         BCA      5511 obs. from  1-5511, no frequency
         GCB      5511 obs. from  1-5511, no frequency
         GGB      5511 obs. from  1-5511, no frequency
         NX       5511 obs. from  1-5511, no frequency
         NM       5511 obs. from  1-5511, no frequency
         NFI      5511 obs. from  1-5511, no frequency
         LP       5511 obs. from  1-5511, no frequency
         TXG_R    5511 obs. from  1-5511, no frequency
         TX_R     5511 obs. from  1-5511, no frequency
         TMG_R    5511 obs. from  1-5511, no frequency
         TM_R     5511 obs. from  1-5511, no frequency
         FMB      5511 obs. from  1-5511, no frequency
         FIDR     5511 obs. from  1-5511, no frequency
         BFRA     5511 obs. from  1-5511, no frequency
         BRASS    5511 obs. from  1-5511, no frequency
         PCPI     5511 obs. from  1-5511, no frequency
         ENDA     5511 obs. from  1-5511, no frequency
         EDNA     5511 obs. from  1-5511, no frequency
         NGS      5511 obs. from  1-5511, no frequency
         NGSP     5511 obs. from  1-5511, no frequency
         NGSG     5511 obs. from  1-5511, no frequency
         NCP      5511 obs. from  1-5511, no frequency
         NCP_R    5511 obs. from  1-5511, no frequency
         GGENL    5511 obs. from  1-5511, no frequency
         GGRG     5511 obs. from  1-5511, no frequency
         TT       5511 obs. from  1-5511, no frequency
         CPIG     5511 obs. from  1-5511, no frequency
         GDPG     5511 obs. from  1-5511, no frequency
         GDPPC    5511 obs. from  1-5511, no frequency
         GDPPCG   5511 obs. from  1-5511, no frequency
         BMG      5511 obs. from  1-5511, no frequency
         IRATE    5511 obs. from  1-5511, no frequency
         XGDP     5511 obs. from  1-5511, no frequency
         MGDP     5511 obs. from  1-5511, no frequency
         XG       5511 obs. from  1-5511, no frequency
         XGM3     5511 obs. from  1-5511, no frequency
         MG       5511 obs. from  1-5511, no frequency
         MGM3     5511 obs. from  1-5511, no frequency
         POP      5511 obs. from  1-5511, no frequency
         POPG     5511 obs. from  1-5511, no frequency
         USGDP    5511 obs. from  1-5511, no frequency
         CGGDP    5511 obs. from  1-5511, no frequency
         CGGDPM3  5511 obs. from  1-5511, no frequency
         GGGDP    5511 obs. from  1-5511, no frequency
         GGGDPM3  5511 obs. from  1-5511, no frequency
         TAXGDP   5511 obs. from  1-5511, no frequency
         TAXGDPM3 5511 obs. from  1-5511, no frequency
         GAP      5511 obs. from  1-5511, no frequency
         SAVPGDP  5511 obs. from  1-5511, no frequency
         SAVGGDP  5511 obs. from  1-5511, no frequency
         IGDP     5511 obs. from  1-5511, no frequency
         CAGDP    5511 obs. from  1-5511, no frequency
         EXCHAOP  5511 obs. from  1-5511, no frequency
         TTG      5511 obs. from  1-5511, no frequency
         TTGM3    5511 obs. from  1-5511, no frequency
         TTGS3    5511 obs. from  1-5511, no frequency
         POPGM3   5511 obs. from  1-5511, no frequency
         GDPPCGS3 5511 obs. from  1-5511, no frequency
         IGDPM3   5511 obs. from  1-5511, no frequency
         IGDPS3   5511 obs. from  1-5511, no frequency
         BMGDP    5511 obs. from  1-5511, no frequency
         BMGDPG   5511 obs. from  1-5511, no frequency
         BMR      5511 obs. from  1-5511, no frequency
         BMRG     5511 obs. from  1-5511, no frequency
         NCPRG    5511 obs. from  1-5511, no frequency
         NCPRGS3  5511 obs. from  1-5511, no frequency
         NCGDP    5511 obs. from  1-5511, no frequency
         NCGDPS3  5511 obs. from  1-5511, no frequency
         GDPGS3   5511 obs. from  1-5511, no frequency
         RGDPHP   5511 obs. from  1-5511, no frequency
         RGDPAVG  5511 obs. from  1-5511, no frequency
         RGDPFV   5511 obs. from  1-5511, no frequency
         RGDPFV1  5511 obs. from  1-5511, no frequency
         RGDPFV2  5511 obs. from  1-5511, no frequency
         RGDPDV   5511 obs. from  1-5511, no frequency
         RGDPDVS3 5511 obs. from  1-5511, no frequency
         DISA     5511 obs. from  1-5511, no frequency
         DUR1DISA 5511 obs. from  1-5511, no frequency
         DUR2DISA 5511 obs. from  1-5511, no frequency
         DUR3DISA 5511 obs. from  1-5511, no frequency
         SUR1DISA 5511 obs. from  1-5511, no frequency
         SUR2DISA 5511 obs. from  1-5511, no frequency
         SUR3DISA 5511 obs. from  1-5511, no frequency
         DISB     5511 obs. from  1-5511, no frequency
         DUR1DISB 5511 obs. from  1-5511, no frequency
         DUR2DISB 5511 obs. from  1-5511, no frequency
         DUR3DISB 5511 obs. from  1-5511, no frequency
         SUR1DISB 5511 obs. from  1-5511, no frequency
         SUR2DISB 5511 obs. from  1-5511, no frequency
         SUR3DISB 5511 obs. from  1-5511, no frequency
         DISC     5511 obs. from  1-5511, no frequency
         DUR1DISC 5511 obs. from  1-5511, no frequency
         DUR2DISC 5511 obs. from  1-5511, no frequency
         DUR3DISC 5511 obs. from  1-5511, no frequency
         SUR1DISC 5511 obs. from  1-5511, no frequency
         SUR2DISC 5511 obs. from  1-5511, no frequency
         SUR3DISC 5511 obs. from  1-5511, no frequency
         NOSCH    5511 obs. from  1-5511, no frequency
         FRSTSCH1 5511 obs. from  1-5511, no frequency
         FRSTSCH2 5511 obs. from  1-5511, no frequency
         SECSCH1  5511 obs. from  1-5511, no frequency
         SECSCH2  5511 obs. from  1-5511, no frequency
         THRSCH1  5511 obs. from  1-5511, no frequency
         THRSCH2  5511 obs. from  1-5511, no frequency
         AVGYRSCH 5511 obs. from  1-5511, no frequency
         CBGOV    5511 obs. from  1-5511, no frequency
         CBTURN5  5511 obs. from  1-5511, no frequency
         CBTURN10 5511 obs. from  1-5511, no frequency
         CURCON   5511 obs. from  1-5511, no frequency
         KAPCON   5511 obs. from  1-5511, no frequency
         CURCON1  5511 obs. from  1-5511, no frequency
         CURCON2  5511 obs. from  1-5511, no frequency
         CURCON3  5511 obs. from  1-5511, no frequency
         NOCURCON 5511 obs. from  1-5511, no frequency
         NOKAPCON 5511 obs. from  1-5511, no frequency
         REGIME   5511 obs. from  1-5511, no frequency
         INCCODE  5511 obs. from  1-5511, no frequency
         UIC      5511 obs. from  1-5511, no frequency
         UMIC     5511 obs. from  1-5511, no frequency
         LMIC     5511 obs. from  1-5511, no frequency
         LIC      5511 obs. from  1-5511, no frequency
         UUMIC    5511 obs. from  1-5511, no frequency
         LLMIC    5511 obs. from  1-5511, no frequency
         CPIGX    5511 obs. from  1-5511, no frequency
         BMGX     5511 obs. from  1-5511, no frequency
         DIST1    5511 obs. from  1-5511, no frequency
         DIST2    5511 obs. from  1-5511, no frequency
         WDIST1   5511 obs. from  1-5511, no frequency
         WDIST2   5511 obs. from  1-5511, no frequency
         RDIST1   5511 obs. from  1-5511, no frequency
         RDIST2   5511 obs. from  1-5511, no frequency
         XPORT3   5511 obs. from  1-5511, no frequency
         REERAOP  5511 obs. from  1-5511, no frequency
         GAPREG   5511 obs. from  1-5511, no frequency
         GDPPCREG 5511 obs. from  1-5511, no frequency
         WGDPG    5511 obs. from  1-5511, no frequency
         GAPHPREG 5511 obs. from  1-5511, no frequency
         XGRESREG 5511 obs. from  1-5511, no frequency
         NAM      5511 obs. from  1-5511, no frequency
         YRS      5511 obs. from  1-5511, no frequency
         BNKSTRT  5511 obs. from  1-5511, no frequency
         BNKDUR   5511 obs. from  1-5511, no frequency
         CURSTRT  5511 obs. from  1-5511, no frequency
         CURDUR   5511 obs. from  1-5511, no frequency
         LNGDPRHP 5511 obs. from  1-5511, no frequency
         RGDPHPDV 5511 obs. from  1-5511, no frequency
         HPDVS3   5511 obs. from  1-5511, no frequency

