     .         1970    1971    1972    1973    1974    1975    1976    1977    1978    1979    1980    1981    1982    1983    1984    1985
    512           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    914           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    612           .       .       .       .       .       .       .       .       .     145     143     159     166     174     190     204
    311           .       .       .       .       .       .       .       .       .     101     104     109     111     112     116     114
    213           .       .       .       .       .       .       .       .       .     173     205     187     104      88     103      92
    911           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    193           .       .       .       .       .       .       .       .       .     106     107     117     117     115     118      99
    122           .       .       .       .       .       .       .       .       .      95      95      92      93      93      94      93
    912           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    313           .       .       .       .       .       .       .       .       .      93      93      97     100     103     106     108
    419           .       .       .       .       .       .       .       .       .       .     131     145     162     168     172     167
    513           .       .       .       .       .       .       .       .       .       .     111     111     106     105     117     120
    316           .       .       .       .       .       .       .       .       .      93      91     100     108     113     119     122
    913           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    124           .       .       .       .       .       .       .       .       .     116     110     103      94      93      92      93
    339           .       .       .       .       .       .       .       .       .       .      98     106     113     120     125     132
    638           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .     100
    218           .       .       .       .       .       .       .       .       .     159     164     208     225     209     276     466
    616           .       .       .       .       .       .       .       .       .     114     112     117     112     107     111     100
    963           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    223           .       .       .       .       .       .       .       .       .      71      74      86      93      71      64      62
    918           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    748           .       .       .       .       .       .       .       .       .     132     133     120     117     113     108     111
    618           .       .       .       .       .       .       .       .       .     139     129     155     171     184     171     174
    622           .       .       .       .       .       .       .       .       .      92      88      81      79      82      84      87
    156           .       .       .       .       .       .       .       .       .      91      89      94     100     104     103      99
    624           .       .       .       .       .       .       .       .       .       .      88      92      98     102     102     101
    626           .       .       .       .       .       .       .       .       .     120     119     115     113     116     109     116
    628           .       .       .       .       .       .       .       .       .     182     147     128     115     117     131     133
    228           .       .       .       .       .       .       .       .       .     183     201     238     214     176     174     138
    924           .       .       .       .       .       .       .       .       .     308     293     261     250     245     219     186
    532           .       .       .       .       .       .       .       .       .      99     102     102     108      98     101     106
    233           .       .       .       .       .       .       .       .       .     202     199     215     229     229     212     185
    632           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    636           .       .       .       .       .       .       .       .       .     469     387     359     378     441     153     138
    634           .       .       .       .       .       .       .       .       .     103      98      99      98      94      98      99
    238           .       .       .       .       .       .       .       .       .     160     163      89      91     111     114     117
    662           .       .       .       .       .       .       .       .       .     109     106      91      83      80      77      77
    423           .       .       .       .       .       .       .       .       .       .     128     123     120     118     117     117
    935           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    128           .       .       .       .       .       .       .       .       .     101      94      90      88      89      87      88
    611           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    321           .       .       .       .       .       .       .       .       .      84      91      98     101     108     117     120
    243           .       .       .       .       .       .       .       .       .     183     171     174     159     157     111     124
    248           .       .       .       .       .       .       .       .       .     228     230     258     252     241     200     207
    469           .       .       .       .       .       .       .       .       .       .     123     134     141     167     203     144
    253           .       .       .       .       .       .       .       .       .      68      70      81      89      94     103     109
    642           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .     147
    939           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    644           .       .       .       .       .       .       .       .       .      99      99     108     117     119     135     161
    819           .       .       .       .       .       .       .       .       .     139     145     149     149     149     151     153
    172           .       .       .       .       .       .       .       .       .      79      82      84      87      84      87      88
    132           .       .       .       .       .       .       .       .       .     109     109     104      99      96      94      96
    646           .       .       .       .       .       .       .       .       .     115     113     100     101     100      96      99
    648           .       .       .       .       .       .       .       .       .     132     133     128     128     129     123     132
    134           .       .       .       .       .       .       .       .       .     113     107      98     100     100      96      93
    652           .       .       .       .       .       .       .       .       .     370     478    1067    1333     898     348     252
    174           .       .       .       .       .       .       .       .       .       .     102     106     110     102      99      96
    328           .       .       .       .       .       .       .       .       .      88      92     106     113     119     127     127
    258           .       .       .       .       .       .       .       .       .     187     182     203     196     206     208     151
    656           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    654           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    336           .       .       .       .       .       .       .       .       .     568     542     587     664     781     799     826
    263           .       .       .       .       .       .       .       .       .     113     117     123     129     141     144     135
    268           .       .       .       .       .       .       .       .       .     126     127     138     150     162     171     178
    944           .       .       .       .       .       .       .       .       .      96     104     112     116     110     111     115
    176           .       .       .       .       .       .       .       .       .     100     105     111     101      93      99      98
    534           .       .       .       .       .       .       .       .       .     165     172     179     172     178     177     171
    536           .       .       .       .       .       .       .       .       .     191     206     224     243     197     191     185
    429           .       .       .       .       .       .       .       .       .     144     157     187     219     259     292     173
    433           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    178           .       .       .       .       .       .       .       .       .      87      88      87      94      95      95      96
    436           .       .       .       .       .       .       .       .       .      90      92      94      98     107     100      97
    136           .       .       .       .       .       .       .       .       .       .      82      80      81      85      86      86
    343           .       .       .       .       .       .       .       .       .     140     151     161     167     158     111      97
    158           .       .       .       .       .       .       .       .       .       .      76      81      74      80      83      85
    439           .       .       .       .       .       .       .       .       .       .     167     175     179     181     184     184
    916           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    664           .       .       .       .       .       .       .       .       .     144     143     138     144     136     146     144
    542           .       .       .       .       .       .       .       .       .       .     101     106     108     104     103      97
    443           .       .       .       .       .       .       .       .       .       .     129     135     146     150     152     150
    917           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    544           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
    941           .       .       .       .       .       .       .       .       .       .       .       .       .       .       .       .
